Brand,Car,Year,City,KMS,Fuel,Transmission,Price,Emi
Hyundai,VenueSX Plus 1.0 Turbo DCT,2021,Delhi,98500,petrol,automatic,808000,13759.0
Honda,JazzV AT Petrol,2017,Delhi,66500,petrol,automatic,459000,7327.0
Toyota,Fortuner2.7 2WD MT Petrol,2016,Delhi,41000,petrol,manual,1989999,34225.0
Skoda,KushaqAmbition 1.0L TSI AT,2022,Delhi,31000,petrol,automatic,1127000,19382.0
Kia,SeltosGTX Plus AT D,2021,Delhi,90000,diesel,automatic,1270000,21841.0
Honda,CityVX Petrol,2017,Delhi,76000,petrol,manual,641000,10915.0
Hyundai,VernaSX 1.6 VTVT,2018,Delhi,96000,petrol,manual,683000,11631.0
Ford,EcoSportTitanium 1.5L Ti-VCT,2017,Delhi,52000,petrol,manual,520000,8855.0
Hyundai,VenueSX 1.0 (O) Turbo iMT,2020,Delhi,14500,petrol,manual,896000,15258.0
Maruti,New ErtigaZXi Plus,2019,Delhi,62000,petrol,manual,770000,13112.0
Hyundai,VenueSX 1.5 CRDI,2021,Delhi,63500,diesel,manual,808000,13759.0
Renault,KigerRXT 1.0 Turbo MT,2021,Delhi,14500,petrol,manual,667000,11358.0
Honda,JazzS AT,2016,Delhi,52500,petrol,automatic,436000,6960.0
MG,Hector1.5 Sharp DCT,2020,Delhi,61000,petrol,automatic,1032000,17748.0
Kia,SeltosGTX DCT,2019,Delhi,61000,petrol,automatic,1139000,19588.0
Ford,EcoSportTitanium 1.0 Ecoboost,2014,Delhi,67500,petrol,manual,424000,9099.0
Hyundai,CretaSX OPT Turbo DCT Petrol,2022,Delhi,72000,petrol,automatic,1454000,25005.0
Ford,EcoSportAmbiente 1.5L Ti-VCT,2019,Delhi,62000,petrol,manual,542000,9229.0
Hyundai,Elite i20Sportz 1.2,2016,Delhi,72500,petrol,manual,466000,7935.0
Kia,CarnivalLimousine,2022,Delhi,100000,diesel,automatic,2424000,41687.0
Hyundai,Grand i10Asta 1.2 Kappa VTVT,2013,Delhi,88000,petrol,manual,287000,7736.0
Honda,Amaze1.2 VX MT Petrol,2018,Delhi,69000,petrol,manual,542000,9229.0
Tata,Tiago NRGPetrol,2018,Delhi,81000,petrol,manual,405999,6913.0
Maruti,BalenoAlpha 1.2,2015,Delhi,57000,petrol,manual,409000,7444.0
Kia,SonetGTX Plus 1.0 DCT,2021,Delhi,55500,petrol,automatic,1059000,18212.0
Honda,CityV Petrol,2022,Delhi,19500,petrol,manual,976000,16620.0
Maruti,CelerioVXi,2019,Delhi,17000,petrol,manual,363000,6181.0
Tata,NexonXZ Plus S,2021,Delhi,29000,petrol,manual,874000,14883.0
Ford,EcoSportTitanium 1.5L Ti-VCT,2019,Delhi,78500,petrol,manual,648000,11035.0
Kia,CarensPrestige Plus 1.4 Petrol MT 7 STR,2022,Delhi,30000,petrol,manual,1165000,20035.0
Kia,SonetHTX 1.0 iMT,2021,Delhi,79000,petrol,manual,791000,13470.0
Tata,NexonXMA,2020,Delhi,61500,petrol,automatic,633000,10779.0
Tata,AltrozXT 1.2,2022,Delhi,24500,petrol,manual,609000,10370.0
Ford,EcoSportTrend 1.5L Ti-VCT,2016,Delhi,63500,petrol,manual,469000,7986.0
Hyundai,VernaSX Opt IVT Petrol,2021,Delhi,53500,petrol,automatic,994999,16944.0
Audi,A335 TFSI Premium Plus,2019,Delhi,63000,petrol,automatic,1800000,30957.0
Tata,SafariXT Plus Dark Edition,2023,Delhi,23500,diesel,manual,1672000,28754.0
Hyundai,i20 Active1.2 SX,2016,Delhi,58500,petrol,manual,461000,7850.0
Mahindra,XUV 300W8 (O) Petrol,2019,Delhi,49500,petrol,manual,752000,12806.0
Tata,NexonXZ Plus,2020,Delhi,28500,petrol,manual,769000,13095.0
